地域区分,No,地区(大字・町名),施設名称,所在地,洪水,土砂災害,高潮,地震,津波,大規模な火事,内水氾濫・火山現象,指定避難所,混雑度,多目的トイレ,ペット可,車いす対応
chuubu2,39,西大野5丁目,特別養護老人ホーム大野和幸園,青森市西大野五丁目16-10,,,,,,,,福祉,混雑,あり,なし,なし
chuubu2,40,大野,鳴滝公園,青森市大字大野字鳴滝64-57外,O,O,,,O,,,,満員,なし,なし,なし
chuubu2,41,筒井(大字),筒井南小学校,青森市大字筒井字八ッ橋46,1階以上,,,,O,X,,,空いている,あり,なし,あり
chuubu2,42,浜田(大字),浜田小学校,青森市大字浜田字豊田36-2,2階以上,,,O,O,,,,やや空いている,あり,あり,あり
chuubu2,43,浜田(大字),マルハン浜田店,青森市浜田字玉川223-1外,2階以上,,O,,,,O,X,やや混雑,なし,なし,あり
chuubu2,44,北金沢2丁目,北金沢公園,青森市北金沢二丁目157-5外,X,,,O,X,X,,X,混雑,あり,なし,なし
chuubu2,45,緑2丁目,奥野中央公園,青森市緑二丁目17-1,,,,,,,,,満員,あり,なし,なし
chuubu,1,青柳2丁目,蜆貝町小学校,青森市青柳二丁目7-25,2階以上,,2階以上,,3階以上,O,X,O,空いている,なし,あり,あり
chuubu,2,奥野3丁目,青森藤こども園,青森市奥野三丁目7-2,,X,X,,X,,,福祉,やや空いている,あり,なし,あり
chuubu,3,奥野3丁目,児童養護施設 聖母園,青森市奥野三丁目7-1,X,,X,,X,,,福祉,やや混雑,あり,なし,あり
chuubu,4,勝田1丁目,高等看護学院,青森市勝田一丁目16-16,2階以上,,1階以上,,2階以上,X,,,混雑,なし,なし,なし
chuubu,5,勝田2丁目,浦町中学校,青森市勝田二丁目25-12,2階以上,,2階以上,,2階以上,,,,満員,あり,あり,なし
chuubu,6,新町1丁目,駅前公園,青森市新町一丁目2-42外,X,O,X,,,,X,,空いている,あり,なし,あり
chuubu,7,新町1丁目,ホテルサンルート青森東館,青森市新町一丁目9-8,,X,X,,3階以上,X,,,やや空いている,なし,なし,あり
chuubu,8,中央2丁目,浦町小学校,青森市中央二丁目17-13,2階以上,,1階以上,,2階以上,X,,,やや混雑,あり,なし,あり
chuubu,9,中央3丁目,青森市総合福祉センター,青森市中央三丁目16-1,2階以上,O,,,2階以上,X,,,混雑,あり,あり,なし
chuubu,10,中央3丁目,アピオあおもり,青森市中央三丁目17-1,2階以上,O,O,O,2階以上,O,O,,満員,なし,なし,なし
chuubu,11,中央3丁目,県民福祉プラザ,青森市中央三丁目20-30,2階以上,O,O,O,2階以上,X,,,空いている,あり,なし,あり
chuubu,12,堤町1丁目,リンクステーションホール青森(青森市文化会館),青森市堤町一丁目4-1,2階以上,,2階以上,O,X,,,,やや空いている,あり,なし,あり
chuubu,13,長島1丁目,青い森公園,青森市長島一丁目2,X,,X,,X,,,,やや混雑,なし,あり,あり
chuubu,14,橋本3丁目,橋本公園,青森市橋本三丁目22,X,O,X,,3階以上,X,,,混雑,あり,なし,なし
chuubu,15,本町4丁目,福祉増進センター,青森市本町四丁目1-3,2階以上,,2階以上,O,X,,,,満員,あり,なし,なし
chuubu,16,松原1丁目,勤労青少年ホーム,青森市松原一丁目6-3,2階以上,O,2階以上,,3階以上,O,,,空いている,なし,なし,あり
chuubu,17,松原1丁目,中央市民センター,青森市松原一丁目6-15,2階以上,O,2階以上,O,,X,,,やや空いている,あり,あり,あり
chuubu,18,松原2丁目,堤小学校,青森市松原二丁目4-4,2階以上,,2階以上,,2階以上,,,,やや混雑,あり,なし,あり
chuubu,19,橋本1丁目,橋本小学校,青森市橋本一丁目9-17,2階以上,O,2階以上,,2階以上,,,,混雑,なし,なし,なし
chuubu,20,古川3丁目,古川市民センター,青森市古川三丁目7-14,1階以上,O,X,,3階以上,,,,満員,あり,なし,なし
chuubu,21,古川3丁目,古川小学校,青森市古川三丁目7-14,1階以上,,,,2階以上,,,,空いている,あり,あり,あり
chuubu,22,勝田1丁目,1号遊歩道緑地,青森市勝田一丁目〜花園二丁目地内,,,,,2階以上,,,,やや空いている,なし,なし,あり
chuubu,23,勝田1丁目,浦町公園,青森市勝田一丁目6,,,,,,,,,やや混雑,あり,なし,あり
chuubu,24,勝田2丁目,勝田公園,青森市勝田二丁目10,X,,,,X,,X,,混雑,あり,なし,なし
chuubu,25,勝田2丁目,地域密着型特別養護老人ホーム 勝田三思園,青森市勝田二丁目20-12,,X,,,X,,,福祉,満員,なし,あり,なし
chuubu,26,勝田2丁目,平和公園,青森市勝田二丁目369-1外,X,,X,O,2階以上,,X,,空いている,あり,なし,あり
chuubu,27,松原2丁目,北斗高等学校,青森市松原二丁目1-24,2階以上,,2階以上,,X,,,,やや空いている,あり,なし,あり
chuubu,28,松原3丁目,松原公園,青森市松原三丁目151-15,X,O,X,,X,X,,,やや混雑,なし,なし,あり
chuubu,29,中央2丁目,中央西公園,青森市中央二丁目17-14,X,O,X,,X,O,X,,混雑,あり,あり,なし
chuubu,30,中央3丁目,サービス付き高齢者向け住宅和幸セントラルハウス,青森市中央三丁目20-10,,X,X,,,,,福祉,満員,あり,なし,なし
chuubu,31,長島2丁目,和幸保育園,青森市長島二丁目1-12,X,,,X,X,X,X,福祉,空いている,なし,なし,あり
chuubu,32,長島3丁目,長島小学校,青森市長島三丁目8-1,2階以上,,1階以上,,2階以上,X,,,やや空いている,あり,なし,あり
chuubu,33,堤町1丁目,ホテル青森,青森市堤町一丁目1-23,X,,X,,3階以上,,,X,やや混雑,あり,あり,あり
chuubu,34,本町1丁目,本町公園,青森市本町一丁目1-18外,X,,X,,X,X,O,X,混雑,なし,なし,なし
chuubu,35,本町2丁目,アートホテル青森,青森市本町二丁目1-26,,X,,X,3階以上,X,X,X,満員,あり,なし,なし
chuubu,36,本町2丁目,青森フォレストホテルアネックス合同会社,青森市本町二丁目5-18,X,,,,2階以上,,,X,空いている,あり,なし,あり
chuubu,37,本町5丁目,アップルパレス青森,青森市本町五丁目1-5,,,,,3階以上,,,,やや空いている,なし,あり,あり
hokubu,1,飛鳥,あすか海岸緑地,青森市大字飛鳥字塩越地内,O,,,,X,X,O,X,やや混雑,あり,なし,あり
hokubu,2,飛鳥,旧西田沢小学校,青森市大字飛鳥字塩越80,,,X,,X,,,X,混雑,あり,なし,なし
hokubu,3,飛鳥,中央市民センター飛鳥分館,青森市大字飛鳥字塩越49-53,,,O,,X,X,,X,満員,なし,なし,なし
hokubu,4,油川,油川小学校,青森市大字油川字船岡36,1階以上,,,,2階以上,,,,空いている,あり,あり,あり
hokubu,5,後潟,中央市民センター後潟分館,青森市大字後潟字平野17-7,,,,,,,,,やや空いている,あり,なし,あり
hokubu,6,岡町,中央市民センター岡町分館,青森市大字岡町字松本7-4,O,O,O,,,,,,やや混雑,なし,なし,あり
hokubu,7,奥内,特別養護老人ホーム外ヶ浜荘,青森市大字奥内字宮田564-2,,X,,,,,,福祉,混雑,あり,なし,なし
hokubu,8,奥内,北部地区農村環境改善センター,青森市大字奥内字宮田41-3,,O,2階以上,O,,,,,満員,あり,あり,なし
hokubu,9,小橋,中央市民センター小橋分館,青森市大字小橋字田川56-5,,,,,,,,,空いている,なし,なし,あり
hokubu,10,四戸橋,障害者支援施設徳誠園,青森市大字四戸橋字磯部243-582,,X,,,,,X,福祉,やや空いている,あり,なし,あり
hokubu,11,清水,北小学校,青森市大字清水字浜元181,O,,1階以上,,3階以上,X,,,やや混雑,あり,なし,あり
hokubu,12,清水,北中学校,青森市大字清水字浜元135-1,,O,,,2階以上,,,,混雑,なし,あり,なし
hokubu,13,清水,中央市民センター内真部分館,青森市大字清水字浜元45-1,,,X,,,,,,満員,あり,なし,なし
hokubu,14,瀬戸子,中央市民センター瀬戸子分館,青森市大字瀬戸子字磯田25,O,,X,,,,,,空いている,あり,なし,あり
hokubu,15,西田沢,障害者支援施設津軽園,青森市大字西田沢字浜田379,O,O,O,,,,,福祉,やや空いている,なし,なし,あり
hokubu,16,西田沢,中央市民センター西田沢分館,青森市大字西田沢字浜田105,,,,,,,,,やや混雑,あり,あり,あり
hokubu,17,羽白,青森北高等学校,青森市大字羽白字高田80-7,,,,,O,,,,混雑,あり,なし,なし
hokubu,18,羽白,油川市民センター,青森市大字羽白字池上197-1,,,,,2階以上,,,,満員,なし,なし,なし
hokubu,19,羽白,油川中学校,青森市大字羽白字沢田471,O,O,O,,2階以上,,,,空いている,あり,なし,あり
hokubu,20,羽白,介護老人保健施設 青照苑,青森市大字羽白字野木和45,O,X,X,,O,,,福祉,やや空いている,あり,あり,あり
hokubu,21,羽白,野木和公園,青森市大字羽白字野木和58-2,,,,,,,,X,やや混雑,なし,なし,あり
hokubu,22,左堰,中央市民センター左堰分館,青森市大字左堰字野田35,,,,O,,X,,,混雑,あり,なし,なし
hokubu,23,六枚橋,旧後潟小学校運動場,青森市大字六枚橋字打越95,,O,X,,,,,X,満員,あり,なし,なし
hokubu,24,六枚橋,旧後潟小学校校舎,青森市大字六枚橋字打越95,O,,2階以上,,3階以上,X,O,X,空いている,なし,あり,あり
hokubu,25,四戸橋,青森市農業振興センター,青森市大字四戸橋字磯部243-319,,,,,,X,,X,やや空いている,あり,なし,あり
